,Unnamed: 0,Year,Month,Day,Hour,Minute,Second,Lat,Lon,Depth,Seismotectonic unit,Unit no.,mb,Ms,MN,ML,Mw (reported),Mw (estimated),Mw,Location Ref.,mb Ref.,Ms Ref.,MN Ref.,ML Ref.,Mw Ref. (reported),Mw Ref. (estimated),Assumed_uncertainty of Mw,1 Standard deviatoion for converted Mw,Unnamed: 27,References
8982,13140,2014,8,18,2,32,5.3,32.68,47.71,15,Zagros,5,,6.2,6.2,6.2,6.2,,6.2,ISC-EHB,,NEIC,IRSC,IIEES,GCMT,,0.1,,,
8983,14163,2015,10,10,6,29,18,32.71,47.68,8,Zagros,5,,,3.7,3.6,,3.7,3.7,IRSC,,,IRSC,IIEES,,Equation(7),,0.1487,,
8984,14260,2015,11,21,19,1,57,32.8,47.78,8,Zagros,5,,3.5,4.5,3.8,,4.5,4.5,IRSC,,ISC      ,IRSC,IIEES,,Equation(7),,0.1481,,
8985,14312,2015,12,17,0,53,19,32.72,47.68,8,Zagros,5,,,3.4,,,3.3,3.3,IRSC,,,IRSC,,,Equation(7),,0.1493,,
8986,14411,2016,1,21,21,51,27,32.63,47.76,8,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8987,14439,2016,2,1,6,19,21,32.7,47.58,8,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8988,14514,2016,3,6,9,55,33,32.83,47.63,8,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8989,14841,2016,7,15,16,36,10,32.71,47.6,8,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
8990,14867,2016,7,21,8,27,29,32.84,47.63,6,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
8991,15098,2016,10,30,10,58,34,32.69,47.7,6,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8992,15137,2016,11,17,3,43,20,32.69,47.76,8.5,Zagros,5,,3.2,4.3,,,4.3,4.3,IRSC,,ISC      ,IRSC,,,Equation(7),,0.1481,,
8993,15175,2016,12,5,22,16,55,32.72,47.81,8,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
8994,15245,2017,1,5,23,3,58,32.7,47.63,8.3,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
8995,15265,2017,1,13,23,0,4,32.75,47.62,8,Zagros,5,4.1,,3.9,,,3.9,3.9,IRSC,ISC,,IRSC,,,Equation(7),,0.1484,,
8996,15296,2017,1,26,22,42,26,32.65,47.85,8.1,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
8997,15444,2017,3,23,14,21,2,32.71,47.6,7.4,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
8998,15501,2017,4,13,9,41,19,32.89,47.69,8.1,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
8999,15776,2017,7,24,23,14,30,32.65,47.7,22.7,Zagros,5,,,3,,,2.9,2.9,IRSC,,,IRSC,,,Equation(7),,0.1503,,
9000,16357,2018,2,25,4,32,44,32.65,47.58,7.7,Zagros,5,,,3.2,,,3.1,3.1,IRSC,,,IRSC,,,Equation(7),,0.1498,,
9001,16632,2018,5,30,18,30,35,32.77,47.64,11.4,Zagros,5,,,3.3,,,3.2,3.2,IRSC,,,IRSC,,,Equation(7),,0.1495,,
9002,16815,2018,8,19,5,32,40,32.63,47.78,9.6,Zagros,5,,,3.7,,,3.7,3.7,IRSC,,,IRSC,,,Equation(7),,0.1487,,
9003,16979,2018,11,2,1,2,33,32.75,47.63,11.5,Zagros,5,,,3.5,,,3.4,3.4,IRSC,,,IRSC,,,Equation(7),,0.1491,,
9004,17071,2018,12,7,11,29,53,32.67,47.84,8.9,Zagros,5,,,3.1,,,3,3,IRSC,,,IRSC,,,Equation(7),,0.15,,
9005,17105,2018,12,24,4,58,46,32.77,47.58,8,Zagros,5,4.1,,3.9,,,3.9,3.9,IRSC,NEIC,,IRSC,,,Equation(7),,0.1484,,
9006,1224,1969,2,7,1,3,7,32.62,48.2,15,Zagros,5,4.6,4.1,,,,4.7,4.7,ISC-EHB,ISC,M2014,,,,Equation(3),,0.1739,,
9007,1439,1973,1,18,22,35,16,32.81,48,75,Zagros,5,4.6,4.1,,,5.1,,5.1,ISC-EHB,ISC,ISC,,,ISC-GEM,,0.2,,,
